id	disciplina
109	2A.13.2 - ECONOMIA APLICADA AOS NEGÓCIOS
110	3A.13.2 - CONTABILIDADE E GESTÃO DE CUSTOS
111	3A.13.2 - PROJETO INTEGRADOR: GESTÃO DA INOVAÇÃO E STARTUP
112	3A.13.2 - GESTÃO DE PESSOAS E EQUIPE
113	3A.13.2 - METODOLOGIA CIENTÍFICA E PESQUISA
114	3A.13.2 - ESTATÍSTICA E CONTROLE DE PROCESSOS
115	5A.13.2 - CONTABILIDADE EMPRESARIAL
116	5A.13.2 - CONTABILIDADE GERENCIAL
117	5A.13.2 - SISTEMAS DE INFORMAÇÕES GERENCIAIS
118	5A.13.2 - CONTABILIDADE SOCIETÁRIA
119	5A.13.2 - CONTABILIDADE SOCIAL E AMBIENTAL
120	7A.13.2 - CONTABILIDADE RURAL
121	7A.13.2 - ESTÁGIO II (PRÁTICAS CONTÁBEIS EM LABORATÓRIO)
122	7A.13.2 - AUDITORIA CONTÁBIL
123	7A.13.2 - FILOSOFIA E ÉTICA PROFISSIONAL
124	7A.13.2 - ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS
125	1A.17.2-INTRODUÇÃO
126	1A.17.2-HISTÓRIA
127	1A.17.2 - CIÊNCIA POLÍTICA
128	1A.17.2-PI-COMUNICAÇÃO-JURÍDICA
129	1A.17.2-DIREITO PRIVADO
130	1D.17.2 - HISTÓRIA DO DIREITO E FILOSOFIA JURÍDICA
131	1D.17.2 - INTRODUÇÃO AO ESTUDO DO DIREITO
132	1D.17.2 - DIREITO PRIVADO (CIVIL I E FATOS JURÍDICOS)
133	1D.17.2 - PROJETO INTEGRADOR: COMUNICAÇÃO JURÍDICA
134	1D.17.2 - CIÊNCIA POLÍTICA
135	2A.17.2 - CIÊNCIA POLÍTICA
136	2D.17.2 - DIREITO PRIVADO (CIVIL I E FATOS JURÍDICOS)
137	2D.17.2 - PROJETO INTEGRADOR: COMUNICAÇÃO JURÍDICA
138	2D.17.2 - CIÊNCIA POLÍTICA
139	2D.17.2 - INTRODUÇÃO AO ESTUDO DO DIREITO
140	2D.17.2 - HISTÓRIA DO DIREITO E FILOSOFIA JURÍDICA
141	3A.17.2 - TEORIA GERAL DO PROCESSO
142	3A.17.2 - TEORIA GERAL DA PENA
143	3A.17.2 - DIREITO DAS OBRIGAÇÕES E RESP. CIVIL
144	3A.17.2 - METODOLOGIA CIENTÍFICA E PESQUISA
145	3A.17.2 - PROJETO INTEGRADOR: DIREITO REGIONAL - AMBIENTAL, AGRÁRIO E INDÍGENA
146	3D.17.2 - METODOLOGIA CIENTÍFICA E PESQUISA
147	3D.17.2 - TEORIA GERAL DO PROCESSO
148	3D.17.2 - DIREITO DAS OBRIGAÇÕES E RESP. CIVIL
149	3D.17.2 - PROJETO INTEGRADOR: DIREITO REGIONAL - AMBIENTAL, AGRÁRIO E INDÍGENA
150	3D.17.2 - TEORIA GERAL DA PENA
151	5A.17.2 - DIREITO PROCESSUAL PENAL - PARTE GERAL I
152	5A.17.2 - DIREITO CIVIL - CONTRATOS
153	5A.17.2 - DIREITO DO DESENVOLVIMENTO REGIONAL – INDÍGENA
154	5A.17.2 - DIREITO PROCESSUAL CIVIL - PARTE GERAL II
